Fecha,Nombre Embalse,Volumen Útil Diario Energía kWh,Volumen Máximo Util Gwh
2017-01-23,MIRAFLORES,281568300,313.1
2017-01-23,PENOL,3477655700,4078.46
2017-01-23,PLAYAS,94645300,96.35
2017-01-23,PORCE II,87627000,130.14
2017-01-23,PORCE III,78442600,117.29
2017-01-23,PUNCHINA,28424800,65.12
2017-01-23,RIOGRANDE2,446798000,560.59
2017-01-23,SAN LORENZO,401834300,422.91
2017-01-23,TRONERAS,37336200,71
2017-01-23,URRA1,138392500,158.45
2017-01-23,AGREGADO BOGOTA,1520277500,3763.5
2017-01-23,BETANIA,100029400,124.66
2017-01-23,EL QUIMBO,719219400,1113.81
2017-01-23,MUNA,44976600,57.6
2017-01-23,PRADO,57308100,57.2
2017-01-23,TOPOCORO,904467000,1003.3
2017-01-23,CHUZA,808239100,980.6
2017-01-23,ESMERALDA,792218100,1112.97
2017-01-23,GUAVIO,1406307300,2091.46
2017-01-23,ALTOANCHICAYA,28127000,36.88
2017-01-23,CALIMA1,146853000,217.04
2017-01-23,SALVAJINA,160566400,171.82
2017-01-24,AMANI,216306200,246.13
2017-01-24,MIRAFLORES,281996500,313.1
2017-01-24,PENOL,3458610700,4078.46
2017-01-24,PLAYAS,98497700,96.35
2017-01-24,PORCE II,97778600,130.14
2017-01-24,PORCE III,61219800,117.29
2017-01-24,PUNCHINA,37707600,65.12
2017-01-24,RIOGRANDE2,445140600,560.59
2017-01-24,SAN LORENZO,392919900,422.91
2017-01-24,TRONERAS,43851800,71
2017-01-24,URRA1,137511400,158.45
2017-01-24,AGREGADO BOGOTA,1517443100,3763.5
2017-01-24,BETANIA,96099200,124.66
2017-01-24,EL QUIMBO,721050000,1113.81
2017-01-24,MUNA,39189300,57.6
2017-01-24,PRADO,57308100,57.2
2017-01-24,TOPOCORO,893587800,1003.3
2017-01-24,CHUZA,804634600,980.6
2017-01-24,ESMERALDA,782016500,1112.97
2017-01-24,GUAVIO,1394148800,2091.46
2017-01-24,ALTOANCHICAYA,21813500,36.88
2017-01-24,CALIMA1,147319200,217.04
2017-01-24,SALVAJINA,160787900,171.82
2017-01-25,AMANI,216117100,246.13
2017-01-25,MIRAFLORES,280711900,313.1
2017-01-25,PENOL,3446969000,4078.46
2017-01-25,PLAYAS,95760500,96.35
2017-01-25,PORCE II,86171600,130.14
2017-01-25,PORCE III,75106800,117.29
2017-01-25,PUNCHINA,25770400,65.12
2017-01-25,RIOGRANDE2,442619700,560.59
2017-01-25,SAN LORENZO,389438500,422.91
2017-01-25,TRONERAS,40809700,71
2017-01-25,URRA1,136667800,158.45
2017-01-25,AGREGADO BOGOTA,1517443100,3763.5
2017-01-25,BETANIA,95828800,124.66
2017-01-25,EL QUIMBO,717088300,1113.81
2017-01-25,MUNA,36455200,57.6
2017-01-25,PRADO,57308100,57.2
2017-01-25,TOPOCORO,890692200,1003.3
2017-01-25,CHUZA,801039200,980.6
2017-01-25,ESMERALDA,772370900,1112.97
2017-01-25,GUAVIO,1376436900,2091.46
2017-01-25,ALTOANCHICAYA,17436000,36.88
2017-01-25,CALIMA1,147790600,217.04
2017-01-25,SALVAJINA,160621100,171.82
2017-01-26,AMANI,209822100,246.13
2017-01-26,MIRAFLORES,278794600,313.1
2017-01-26,PENOL,3431475100,4078.46
2017-01-26,PLAYAS,99603100,96.35
2017-01-26,PORCE II,78625500,130.14
2017-01-26,PORCE III,83659400,117.29
2017-01-26,PUNCHINA,43638300,65.12
2017-01-26,RIOGRANDE2,434347100,560.59
2017-01-26,SAN LORENZO,378097700,422.91
2017-01-26,TRONERAS,37007100,71
2017-01-26,URRA1,135781500,158.45
2017-01-26,AGREGADO BOGOTA,1514613300,3763.5
2017-01-26,BETANIA,94307500,124.66
2017-01-26,EL QUIMBO,713126600,1113.81
2017-01-26,MUNA,34541300,57.6
2017-01-26,PRADO,57308100,57.2
2017-01-26,TOPOCORO,877939400,1003.3
2017-01-26,CHUZA,808480600,980.6
2017-01-26,ESMERALDA,770319100,1112.97
2017-01-26,GUAVIO,1368046900,2091.46
2017-01-26,ALTOANCHICAYA,16202900,36.88
2017-01-26,CALIMA1,148163500,217.04
2017-01-26,SALVAJINA,157970900,171.82
2017-01-27,AMANI,210389300,246.13
2017-01-27,MIRAFLORES,277091400,313.1
2017-01-27,PENOL,3429148400,4078.46
2017-01-27,PLAYAS,97131000,96.35
2017-01-27,PORCE II,89652200,130.14
2017-01-27,PORCE III,66342000,117.29
2017-01-27,PUNCHINA,39482300,65.12
